date,client,platform,keyword,rank,suggestion_text,page_url,screenshot_path,source_mode
2025-10-19,优贝,douyin,青少年自行车,1,青少年自行车教程,https://www.douyin.com/search/青少年自行车,,FALLBACK
2025-10-19,优贝,douyin,青少年自行车,2,青少年自行车方法,https://www.douyin.com/search/青少年自行车,,FALLBACK
2025-10-19,优贝,douyin,青少年自行车,3,青少年自行车技巧,https://www.douyin.com/search/青少年自行车,,FALLBACK
2025-10-19,优贝,douyin,8-14岁自行车,1,8-14岁自行车教程,https://www.douyin.com/search/8-14岁自行车,,FALLBACK
2025-10-19,优贝,douyin,8-14岁自行车,2,8-14岁自行车方法,https://www.douyin.com/search/8-14岁自行车,,FALLBACK
2025-10-19,优贝,douyin,8-14岁自行车,3,8-14岁自行车技巧,https://www.douyin.com/search/8-14岁自行车,,FALLBACK
2025-10-19,优贝,douyin,儿童自行车,1,儿童自行车教程,https://www.douyin.com/search/儿童自行车,,FALLBACK
2025-10-19,优贝,douyin,儿童自行车,2,儿童自行车方法,https://www.douyin.com/search/儿童自行车,,FALLBACK
2025-10-19,优贝,douyin,儿童自行车,3,儿童自行车技巧,https://www.douyin.com/search/儿童自行车,,FALLBACK
2025-10-19,优贝,douyin,儿童山地车,1,儿童山地车教程,https://www.douyin.com/search/儿童山地车,,FALLBACK
2025-10-19,优贝,douyin,儿童山地车,2,儿童山地车方法,https://www.douyin.com/search/儿童山地车,,FALLBACK
2025-10-19,优贝,douyin,儿童山地车,3,儿童山地车技巧,https://www.douyin.com/search/儿童山地车,,FALLBACK
2025-10-19,优贝,douyin,儿童平价自行车,1,儿童平价自行车教程,https://www.douyin.com/search/儿童平价自行车,,FALLBACK
2025-10-19,优贝,douyin,儿童平价自行车,2,儿童平价自行车方法,https://www.douyin.com/search/儿童平价自行车,,FALLBACK
2025-10-19,优贝,douyin,儿童平价自行车,3,儿童平价自行车技巧,https://www.douyin.com/search/儿童平价自行车,,FALLBACK
