date,client,platform,keyword,rank,suggestion_text,page_url,screenshot_path,source_mode
2025-10-19,思迈特,douyin,体检套餐,1,体检套餐教程,https://www.douyin.com/search/体检套餐,,FALLBACK
2025-10-19,思迈特,douyin,体检套餐,2,体检套餐方法,https://www.douyin.com/search/体检套餐,,FALLBACK
2025-10-19,思迈特,douyin,体检套餐,3,体检套餐技巧,https://www.douyin.com/search/体检套餐,,FALLBACK
2025-10-19,思迈特,douyin,糖尿病饮食,1,糖尿病饮食教程,https://www.douyin.com/search/糖尿病饮食,,FALLBACK
2025-10-19,思迈特,douyin,糖尿病饮食,2,糖尿病饮食方法,https://www.douyin.com/search/糖尿病饮食,,FALLBACK
2025-10-19,思迈特,douyin,糖尿病饮食,3,糖尿病饮食技巧,https://www.douyin.com/search/糖尿病饮食,,FALLBACK
2025-10-19,思迈特,douyin,健康管理,1,健康管理教程,https://www.douyin.com/search/健康管理,,FALLBACK
2025-10-19,思迈特,douyin,健康管理,2,健康管理方法,https://www.douyin.com/search/健康管理,,FALLBACK
2025-10-19,思迈特,douyin,健康管理,3,健康管理技巧,https://www.douyin.com/search/健康管理,,FALLBACK
2025-10-19,思迈特,douyin,血压监测,1,血压监测教程,https://www.douyin.com/search/血压监测,,FALLBACK
2025-10-19,思迈特,douyin,血压监测,2,血压监测方法,https://www.douyin.com/search/血压监测,,FALLBACK
2025-10-19,思迈特,douyin,血压监测,3,血压监测技巧,https://www.douyin.com/search/血压监测,,FALLBACK
2025-10-19,思迈特,douyin,心率检测,1,心率检测教程,https://www.douyin.com/search/心率检测,,FALLBACK
2025-10-19,思迈特,douyin,心率检测,2,心率检测方法,https://www.douyin.com/search/心率检测,,FALLBACK
2025-10-19,思迈特,douyin,心率检测,3,心率检测技巧,https://www.douyin.com/search/心率检测,,FALLBACK
2025-10-19,思迈特,douyin,运动健康,1,运动健康教程,https://www.douyin.com/search/运动健康,,FALLBACK
2025-10-19,思迈特,douyin,运动健康,2,运动健康方法,https://www.douyin.com/search/运动健康,,FALLBACK
2025-10-19,思迈特,douyin,运动健康,3,运动健康技巧,https://www.douyin.com/search/运动健康,,FALLBACK
2025-10-19,思迈特,douyin,营养搭配,1,营养搭配教程,https://www.douyin.com/search/营养搭配,,FALLBACK
2025-10-19,思迈特,douyin,营养搭配,2,营养搭配方法,https://www.douyin.com/search/营养搭配,,FALLBACK
2025-10-19,思迈特,douyin,营养搭配,3,营养搭配技巧,https://www.douyin.com/search/营养搭配,,FALLBACK
2025-10-19,思迈特,douyin,睡眠质量,1,睡眠质量教程,https://www.douyin.com/search/睡眠质量,,FALLBACK
2025-10-19,思迈特,douyin,睡眠质量,2,睡眠质量方法,https://www.douyin.com/search/睡眠质量,,FALLBACK
2025-10-19,思迈特,douyin,睡眠质量,3,睡眠质量技巧,https://www.douyin.com/search/睡眠质量,,FALLBACK
2025-10-19,思迈特,douyin,减肥方法,1,减肥方法教程,https://www.douyin.com/search/减肥方法,,FALLBACK
2025-10-19,思迈特,douyin,减肥方法,2,减肥方法方法,https://www.douyin.com/search/减肥方法,,FALLBACK
2025-10-19,思迈特,douyin,减肥方法,3,减肥方法技巧,https://www.douyin.com/search/减肥方法,,FALLBACK
2025-10-19,思迈特,douyin,养生保健,1,养生保健教程,https://www.douyin.com/search/养生保健,,FALLBACK
2025-10-19,思迈特,douyin,养生保健,2,养生保健方法,https://www.douyin.com/search/养生保健,,FALLBACK
2025-10-19,思迈特,douyin,养生保健,3,养生保健技巧,https://www.douyin.com/search/养生保健,,FALLBACK
