date,client,platform,keyword,rank,suggestion_text,page_url,screenshot_path,source_mode
2025-10-22,抖音,douyin,职业生涯规划师培训,1,职业生涯规划师培训教程,https://www.douyin.com/search/职业生涯规划师培训,,FALLBACK
2025-10-22,抖音,douyin,职业生涯规划师培训,2,职业生涯规划师培训方法,https://www.douyin.com/search/职业生涯规划师培训,,FALLBACK
2025-10-22,抖音,douyin,职业生涯规划师培训,3,职业生涯规划师培训技巧,https://www.douyin.com/search/职业生涯规划师培训,,FALLBACK
2025-10-22,抖音,douyin,职业生涯规划,1,职业生涯规划教程,https://www.douyin.com/search/职业生涯规划,,FALLBACK
2025-10-22,抖音,douyin,职业生涯规划,2,职业生涯规划方法,https://www.douyin.com/search/职业生涯规划,,FALLBACK
2025-10-22,抖音,douyin,职业生涯规划,3,职业生涯规划技巧,https://www.douyin.com/search/职业生涯规划,,FALLBACK
2025-10-22,抖音,douyin,职业规划师,1,职业规划师教程,https://www.douyin.com/search/职业规划师,,FALLBACK
2025-10-22,抖音,douyin,职业规划师,2,职业规划师方法,https://www.douyin.com/search/职业规划师,,FALLBACK
2025-10-22,抖音,douyin,职业规划师,3,职业规划师技巧,https://www.douyin.com/search/职业规划师,,FALLBACK
2025-10-22,抖音,douyin,生涯规划培训,1,生涯规划培训教程,https://www.douyin.com/search/生涯规划培训,,FALLBACK
2025-10-22,抖音,douyin,生涯规划培训,2,生涯规划培训方法,https://www.douyin.com/search/生涯规划培训,,FALLBACK
2025-10-22,抖音,douyin,生涯规划培训,3,生涯规划培训技巧,https://www.douyin.com/search/生涯规划培训,,FALLBACK
2025-10-22,抖音,douyin,职业咨询师,1,职业咨询师教程,https://www.douyin.com/search/职业咨询师,,FALLBACK
2025-10-22,抖音,douyin,职业咨询师,2,职业咨询师方法,https://www.douyin.com/search/职业咨询师,,FALLBACK
2025-10-22,抖音,douyin,职业咨询师,3,职业咨询师技巧,https://www.douyin.com/search/职业咨询师,,FALLBACK
2025-10-22,抖音,douyin,职业发展指导,1,职业发展指导教程,https://www.douyin.com/search/职业发展指导,,FALLBACK
2025-10-22,抖音,douyin,职业发展指导,2,职业发展指导方法,https://www.douyin.com/search/职业发展指导,,FALLBACK
2025-10-22,抖音,douyin,职业发展指导,3,职业发展指导技巧,https://www.douyin.com/search/职业发展指导,,FALLBACK
2025-10-22,抖音,douyin,生涯教练,1,生涯教练教程,https://www.douyin.com/search/生涯教练,,FALLBACK
